Event Name,Event Date,Event Type,Country,Region,US State,City,Event Format,Event URL
Cybersecurity Fundamentals tra...,2026-11-09,Training,Netherlands Antilles,APAC,,Close to Amsterdam,Physical,Link
Certified Cost Technician (CCT...,2026-10-26,Training,Netherlands,APAC,,Amsterdam,Physical,Link
Identity Management & Access C...,2026-09-23,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
ISO 31000 Risk Management,2026-09-09,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
World Conference on Cyber Secu...,2026-07-31,Conference,Canada,Online,,Ottawa,Physical,Link
Global Summit on Nursing & Hea...,2026-06-15,Conference,United States,North America,Georgia,"Atlanta, USA",Hybrid (Both),Link
ISO 31000 Risk Management,2026-06-10,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
SecretCon 4 2026,2026-06-04,Conference,United States,North America,Minnesota,St Paul,Physical,Link
SINCON 2026,2026-05-21,Conference,Singapore,APAC,,Singapore,Physical,Link
SWISS GRC DAY 2026,2026-05-20,Conference,Switzerland,EMEA,,Zurich,Physical,Link
Red Hot Cyber Conference 2026,2026-05-18,Conference,Italy,EMEA,,Rome,Physical,Link
TechEx North America 2026,2026-05-18,Conference,United States,North America,California,Los Angeles,Physical,Link
RightsCon 2026,2026-05-05,Conference,Zambia,Africa,,Lusaka,Hybrid (both),Link
IAM Tech Day Brazil 2026,2026-04-22,Conference,Brazil,LATAM,,São Paulo,Physical,Link
Certified Cost Technician (CCT...,2026-04-13,Training,Netherlands,APAC,,Amsterdam,Physical,Link
Women In Technology 2026,2026-04-09,Conference,United States,North America,North Carolina,Boone,Physical,Link
Cyber Leaders' Summit 2026,2026-04-07,Conference,United Kingdom,EMEA,,London,Physical,Link
CypherCon 9 2026,2026-04-01,Conference,United States,North America,Wisconsin,Milwaukee,Physical,Link
Gen AI Conference NYC 2026,2026-03-23,Conference,United States,North America,New York,New York City,Physical,Link
Identity Management & Access C...,2026-03-16,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
ISO 31000 Risk Management,2026-03-11,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
International Conference on Cy...,2026-03-05,Conference,United States,North America,North Carolina,Wilmington,Hybrid (both),Link
Zero Trust World 2026,2026-03-04,Conference,United States,North America,Florida,Orlando,Physical,Link
Apres-Cyber Slopes Summit 2026,2026-02-25,Conference,United States,North America,Utah,Park City,Physical,Link
Cloud Security USA Conference ...,2026-02-24,Conference,United States,North America,New York,New York City,Physical,Link
Cloud Security USA Conference ...,2026-02-24,Conference,United States,North America,New York,New York City,Physical,Link
COSAC APAC 2026,2026-02-24,Conference,Australia,APAC,,Melbourne,Physical,Link
Cloud USA 2025,2026-02-24,Conference,United States,North America,New York,New York CIty,Physical,Link
Fintech Week Dubai 2025,2026-02-17,Conference,United Kingdom,EMEA,,London,Physical,Link
2nd Fintech Week: Dubai 2026,2026-02-17,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
Cybersecurity Fundamentals tra...,2026-02-10,Training,Netherlands,APAC,,Close to Amsterdam,Physical,Link
Wild West Hackin' Fest @ Mile ...,2026-02-10,Conference,United States,North America,Colorado,Denver,Hybrid (both),Link
TechEx Global 2026,2026-02-04,Conference,United Kingdom,EMEA,,London,Physical,Link
Cybersec Asia x Thailand Inter...,2026-02-04,Conference,Thailand,,,Bangkok,Physical,Link
CISO Forum Canada 2026,2026-02-04,Conference,Canada,North America,,Toronto,Physical,Link
SANS Rockville 2026,2026-02-02,Training,United States,North America,Maryland,Rockville,Hybrid (Both),Link
SANS Nashville Winter 2026,2026-01-12,Training,United States,North America,Tennessee,Nashville,Hybrid (Both),Link
Chaos Communication Congress -...,2025-12-27,Conference,Germany,EMEA,,Hamburg,Hybrid (both),Link
CyberRisk CISO Dinner: Portlan...,2025-12-17,Conference,United States,North America,Oregon,Portland,Physical,Link
QCon AI 2025 | December 16-17,2025-12-16,Conference,United States,North America,New York,New York,Physical,Link
SANS Cyber Defense Initiative ...,2025-12-12,Training,United States,North America,District of Columbia,Washington,Hybrid (both),Link
Defenders Tour: Technical SecO...,2025-12-11,Training,United States,North America,Virginia,Arlington,Physical,Link
INTERFACE Seattle 2025,2025-12-11,Conference,United States,North America,Washington,Seattle,Physical,Link
FutureCon CyberSecurity Confer...,2025-12-10,Conference,United States,North America,Tennessee,Nashville,Physical,Link
CyberRisk CISO Dinner: Charlot...,2025-12-10,Conference,United States,North America,North Carolina,Charlotte,Physical,Link
#RISK Dubai 2025,2025-12-10,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
CyberRisk Leadership Exchange:...,2025-12-09,Conference,United States,North America,California,San Francisco,Physical,Link
CyberRisk CISO Dinner: Denver ...,2025-12-09,Conference,United States,North America,Colorado,Denver,Physical,Link
CyberRisk CISO Dinner: Atlanta...,2025-12-09,Conference,United States,North America,Georgia,Atlanta,Physical,Link
IMF Academy: CISSP Certificati...,2025-12-09,Training,Netherlands,EMEA,,Amsterdam,Hybrid (both),Link
CIO Strategy Meeting: Denver,2025-12-09,Conference,United States,North America,Colorado,Denver,Physical,Link
CIOMeet 2025: Detroit,2025-12-09,Conference,United States,North America,Michigan,Detroit,Physical,Link
AccelerateGOV 2025,2025-12-09,Conference,Canada,North America,,Ottawa,Physical,Link
IT-Tage 2025,2025-12-08,Conference,Germany,EMEA,,Frankfurt am Main,Physical,Link
IMF Academy: Cost Estimating F...,2025-12-08,Training,Netherlands,EMEA,,Hague,Hybrid (both),Link
Gartner Identity & Access Mana...,2025-12-08,Conference,United States,North America,Texas,Grapevine,Physical,Link
Open Source Summit Japan 2025,2025-12-08,Conference,Japan,APAC,,Tokyo,Physical,Link
AI_dev: Open Source GenAI & ML...,2025-12-08,Conference,Japan,APAC,,Tokyo,Physical,Link
BSIDES Cape Town 2025,2025-12-06,Conference,South Africa,Africa,,Cape Town,Physical,Link
FutureCon CyberSecurity Confer...,2025-12-04,Conference,United States,North America,Texas,Austin,Physical,Link
ERTL-YANG Leader Summit Decemb...,2025-12-04,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
Data Connectors Cybersecurity ...,2025-12-04,Conference,United States,North America,Georgia,Atlanta,Physical,Link
Conf42: DevSecOps 2025,2025-12-04,Conference,United Kingdom,EMEA,,London,Online,Link
CyberRisk CISO Dinner: Phoenix...,2025-12-04,Conference,United States,North America,Arizona,Phoenix,Physical,Link
CyberRisk CISO Dinner: Washing...,2025-12-04,Conference,United States,North America,District of Columbia,Washington,Physical,Link
CyberRisk CISO Dinner: Los Ang...,2025-12-04,Conference,United States,North America,California,Phoenix,Physical,Link
CIOMeet 2025: Houston,2025-12-04,Conference,United States,North America,Texas,Houston,Physical,Link
SecureWorld: East Virtual Conf...,2025-12-04,Conference,United States,North America,Oregon,Portland,Online,Link
CIO NetworX: Washington DC 202...,2025-12-04,Conference,United States,North America,District of Columbia,Washington,Physical,Link
The Official Cybersecurity Sum...,2025-12-04,Conference,United States,North America,Florida,Jacksonville,Physical,Link
IDC CIO Summit: France 2025,2025-12-03,Conference,France,EMEA,,Paris,Physical,Link
AVAR 2025: 28th Annual Cyber S...,2025-12-03,Conference,Malaysia,APAC,,Kuala Lumpur,Physical,Link
Operation: Defend The North 20...,2025-12-03,Conference,Canada,North America,,Toronto,Hybrid (both),Link
CyberRisk Leadership Exchange:...,2025-12-02,Conference,United States,North America,Massachusetts,Boston,Physical,Link
Oh My Hack 2025,2025-12-02,Conference,Poland,EMEA,,Warsaw,Physical,Link
Heliview State of Cybersecurit...,2025-12-02,Conference,Sweden,EMEA,,Stockholm,Physical,Link
PasswordsCon 2025,2025-12-01,Conference,Czech Republic,EMEA,,Prague,Hybrid (both),Link
AWS re:invent 2025,2025-12-01,Conference,United States,North America,Nevada,Las Vegas,Physical,Link
IT Security Summit Munich,2025-12-01,Conference,Germany,EMEA,,Munich,Hybrid (both),Link
SANS Dallas 2025,2025-12-01,Training,United States,North America,Texas,Dallas,Hybrid (both),Link
ERTL-YANG Leader Summit 2025: ...,2025-11-27,Conference,Switzerland,EMEA,,Zurich,Physical,Link
Next IT Security DACH: Novembe...,2025-11-27,Conference,Germany,EMEA,,Frankfurt,Physical,Link
CISO Middle East Summit 2025,2025-11-27,Conference,Qatar,EMEA,,Doha,Physical,Link
Next IT Security DACH: Novembe...,2025-11-27,Conference,Germany,EMEA,,Frankfurt,Physical,Link
Heliview Cyber Security Experi...,2025-11-27,Conference,Netherlands,EMEA,,Bussum,Physical,Link
IDC Digital Enterprise Summit:...,2025-11-25,Conference,Netherlands,EMEA,,Nieuwegein,Physical,Link
CISSP certification training,2025-11-24,Training,Netherlands,EMEA,,Amsterdam,Hybrid (both),Link
Certified Cost Technician (CCT...,2025-11-24,Training,Netherlands,APAC,,Amsterdam,Physical,Link
MLcon Berlin 2025,2025-11-24,Conference,Germany,EMEA,,Berlin,Hybrid (both),Link
Certified Data Management Prof...,2025-11-24,Training,Netherlands,EMEA,,Amsterdam,Hybrid (both),Link
FutureCon CyberSecurity Confer...,2025-11-20,Conference,United States,North America,Massachusetts,Boston,Physical,Link
ERTL-YANG Leader Summit 2025: ...,2025-11-20,Conference,Germany,EMEA,,Munich,Physical,Link
Conf42: Robotics 2025,2025-11-20,Conference,United Kingdom,EMEA,,London,Online,Link
CyberRisk CISO Dinner: Houston...,2025-11-20,Conference,United States,North America,Texas,Houston,Physical,Link
CyberRisk Leadership Exchange:...,2025-11-20,Conference,United States,North America,Michigan,Detroit,Physical,Link
IDC Digital Enterprise Summit:...,2025-11-20,Conference,Denmark,EMEA,,Copenhagen,Physical,Link
Generative AI Summit: Toronto ...,2025-11-20,Conference,Canada,North America,,Toronto,Physical,Link
Transform Finance: FinCrime Le...,2025-11-20,Conference,United States,North America,New York,New York City,Physical,Link
BSides Amsterdam 2025,2025-11-20,Conference,Netherlands,EMEA,,Amsterdam,Physical,Link
IDC Security Summit: India 202...,2025-11-20,Conference,India,APAC,,New Delhi,Physical,Link
The Official Cybersecurity Sum...,2025-11-20,Conference,United States,North America,California,Los Angeles,Physical,Link
CIO Institute: London November...,2025-11-20,Conference,United Kingdom,EMEA,,London,Physical,Link
Red Hat Summit: Connect Montre...,2025-11-19,Conference,Cambodia,APAC,,Montreal,Physical,Link
Executive Partners Network: In...,2025-11-19,Conference,Germany,EMEA,,Düsseldorf,Physical,Link
Executive Partners Network: Cy...,2025-11-19,Conference,Germany,EMEA,,Düsseldorf,Physical,Link
The Official Cybersecurity Sum...,2025-11-19,Conference,United States,North America,New York,New York City,Online,Link
SuriCon 2025,2025-11-19,Conference,Canada,North America,,Montreal,Hybrid (both),Link
ERTL-YANG Leader Summit 2025: ...,2025-11-18,Conference,Netherlands,EMEA,,Amsterdam,Physical,Link
CyberRisk Leadership Exchange:...,2025-11-18,Conference,United States,North America,Illinois,Chicago,Physical,Link
CyberRisk CISO Dinner: Salt La...,2025-11-18,Conference,United States,North America,Utah,Salt Lake,Physical,Link
CIO Strategy Meeting: Calgary,2025-11-18,Conference,Canada,North America,,Calgary,Physical,Link
Red Hat Summit: Connect Darmst...,2025-11-18,Conference,Germany,EMEA,,Darmstadt,Physical,Link
Red Hat Summit: Connect Atlant...,2025-11-18,Conference,United States,North America,Georgia,Atlanta,Physical,Link
IDC Digital Enterprise Summit:...,2025-11-18,Conference,Sweden,EMEA,,Stockholm,Physical,Link
Transformational CISO Assembly...,2025-11-18,Conference,United States,North America,Georgia,Atlanta,Physical,Link
Automotive Cyber Security Conn...,2025-11-18,Conference,Germany,EMEA,,Berlin,Physical,Link
Aspen Cyber Summit 2025,2025-11-18,Conference,United States,North America,District of Columbia,Washington,Hybrid (both),Link
Executive Partners Network: In...,2025-11-18,Conference,United Kingdom,EMEA,,London,Online,Link
The Official Cybersecurity Sum...,2025-11-18,Conference,United States,North America,New York,New York City,Physical,Link
Executive Partners Network: Cy...,2025-11-18,Conference,United Kingdom,EMEA,,London,Online,Link
AiSecCon 2025,2025-11-18,Conference,Canada,North America,,Toronto,Hybrid (both),Link
Healthcare Innovation Summit: ...,2025-11-17,Conference,United States,North America,Washington,Seattle,Physical,Link
IT Security Conference NYC 202...,2025-11-17,Conference,United States,North America,New York,New York City,Physical,Link
AI By The Bay 2025,2025-11-17,Conference,United States,North America,California,Oakland,Physical,Link
QCon San Francisco Internation...,2025-11-17,Conference,United States,North America,California,San Francisco,Physical,Link
The Network Group: Information...,2025-11-17,Conference,Denmark,EMEA,,Copenhagen,Physical,Link
Gartner IT Symposium/Xpo: Koch...,2025-11-17,Conference,India,APAC,,Kochi,Physical,Link
SANS San Francisco Fall 2025,2025-11-17,Training,United States,North America,California,San Francisco,Hybrid (both),Link
BSides Munich Conference 2025,2025-11-17,Conference,Germany,EMEA,,Munich,Physical,Link
SANS DFIRCON Miami 2025,2025-11-16,Training,United States,North America,Florida,Coral Gables,Hybrid (both),Link
BSides Red Rocks 2025,2025-11-14,Conference,United States,North America,Utah,Saint George,Physical,Link
The Human Behavior Conference ...,2025-11-14,Conference,United States,North America,Florida,Orlando,Physical,Link
FutureCon CyberSecurity Confer...,2025-11-13,Conference,United States,North America,Arizona,Phoenix,Physical,Link
TECHSPO Silicon Valley 2025 Te...,2025-11-13,Conference,United States,North America,California,San Jose,Physical,Link
Netskope SASE Summit: Dubai 20...,2025-11-13,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
ERTL-YANG Leader Summit 2025: ...,2025-11-13,Conference,Germany,EMEA,,Stuttgart,Physical,Link
Next IT Security Benelux: Nove...,2025-11-13,Conference,Netherlands,EMEA,,Amsterdam,Physical,Link
AT&T Secure Connections 2025,2025-11-13,Conference,United States,Online,Texas,Dallas,Online,Link
IANS: CISO Roundtable Dallas 2...,2025-11-13,Conference,United States,North America,Texas,Dallas,Physical,Link
CIOMeet 2025: San Jose,2025-11-13,Conference,United States,North America,California,San Jose,Physical,Link
CIO Strategy Meeting: Raleigh,2025-11-13,Conference,United States,North America,North Carolina,Raleigh,Physical,Link
Defenders Tour: Technical SecO...,2025-11-13,Training,Norway,EMEA,,Oslo,Physical,Link
IDC Digital Enterprise Summit:...,2025-11-13,Conference,Norway,EMEA,,Oslo,Physical,Link
BSides Chile 2025,2025-11-13,Conference,Chile,LATAM,,Santiago - Concepcion,Physical,Link
CIO NetworX: Chicago 2025,2025-11-13,Conference,United States,North America,Illinois,Chicago,Physical,Link
Next IT Security Benelux: Nove...,2025-11-13,Conference,Netherlands,EMEA,,Amsterdam,Physical,Link
Heliview State of Cybersecurit...,2025-11-13,Conference,Denmark,EMEA,,Copenhagen,Physical,Link
Mindfluence: CISO/Executive Le...,2025-11-13,Conference,United States,North America,Colorado,Denver,Physical,Link
Red Hat Summit: Connect Rome 2...,2025-11-12,Conference,Italy,EMEA,,Rome,Physical,Link
29th Colloquium: Cybersecurity...,2025-11-12,Conference,United States,North America,Washington,Seattle,Physical,Link
SANS Stay Sharp: Nov 2025,2025-11-12,Training,United States,North America,Maryland,Virtual,Online,Link
Pulse Conferences: CISO 360 Mi...,2025-11-11,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
UKsec Cyber Summit 2025,2025-11-11,Conference,United Kingdom,EMEA,,London,Physical,Link
ISO 31000 Risk Management,2025-11-11,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
Netskope SASE Summit: Riyadh 2...,2025-11-11,Conference,Saudi Arabia,EMEA,,Riyadh,Physical,Link
Pulse Conferences: 6th CISO 36...,2025-11-11,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
Defenders Tour: Technical SecO...,2025-11-11,Training,United Kingdom,EMEA,,London,Physical,Link
Red Hat Summit: Connect Riyadh...,,,,,,,,
